[23:23:50] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[23:23:51] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[23:23:51] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[23:23:52] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[23:23:52] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[23:23:53] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[23:23:53] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[23:23:54] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[23:23:54] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[23:23:55] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[23:23:55] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[23:23:56] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:23:56] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:23:57] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:23:57] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:23:58] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:23:58] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:23:59] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:23:59] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:00] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:00] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:01] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:01] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:02] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:02] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:03] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:03] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:04] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:04] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:05] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:05] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:06] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:06] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:07] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:07] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:08] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:08] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:09] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:09] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:10] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:10] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:11] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:11] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:12] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:12] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:13] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:13] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:14] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:14] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:15] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:15] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:16] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:16] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:17] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:17] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:18] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:18] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[23:24:19] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
